IndexName,date,nav
NIFTY SMALLCAP 250,16-Jul-24,22392.36
NIFTY SMALLCAP 250,18-Jul-24,22146.46
NIFTY SMALLCAP 250,19-Jul-24,21627.58
NIFTY SMALLCAP 250,22-Jul-24,21822.33
NIFTY SMALLCAP 250,23-Jul-24,21690.59
NIFTY SMALLCAP 250,24-Jul-24,22095.1
NIFTY SMALLCAP 250,25-Jul-24,22034.07
NIFTY SMALLCAP 250,26-Jul-24,22243.81
NIFTY SMALLCAP 250,29-Jul-24,22482.62
NIFTY SMALLCAP 250,30-Jul-24,22668.48
NIFTY SMALLCAP 250,31-Jul-24,22624.73
NIFTY SMALLCAP 250,01-Aug-24,22472.05
NIFTY SMALLCAP 250,02-Aug-24,22287.45
NIFTY SMALLCAP 250,05-Aug-24,21355.37
NIFTY SMALLCAP 250,06-Aug-24,21272.65
NIFTY SMALLCAP 250,07-Aug-24,21784.24
NIFTY SMALLCAP 250,08-Aug-24,21723
NIFTY SMALLCAP 250,09-Aug-24,21867.51
NIFTY SMALLCAP 250,12-Aug-24,21939.08
NIFTY SMALLCAP 250,13-Aug-24,21669.36
NIFTY SMALLCAP 250,14-Aug-24,21550.87
NIFTY SMALLCAP 250,16-Aug-24,21918.7
NIFTY SMALLCAP 250,19-Aug-24,22254.24
NIFTY SMALLCAP 250,20-Aug-24,22376.64
NIFTY SMALLCAP 250,21-Aug-24,22623.4
NIFTY SMALLCAP 250,22-Aug-24,22695.3
NIFTY SMALLCAP 250,23-Aug-24,22725.25
NIFTY SMALLCAP 250,26-Aug-24,22820.05
NIFTY SMALLCAP 250,27-Aug-24,22994.76
NIFTY SMALLCAP 250,28-Aug-24,22945.49
NIFTY SMALLCAP 250,29-Aug-24,22815.26
NIFTY SMALLCAP 250,30-Aug-24,22934.49
NIFTY SMALLCAP 250,02-Sep-24,22918.64
NIFTY SMALLCAP 250,03-Sep-24,23053.88
NIFTY SMALLCAP 250,04-Sep-24,23124.96
NIFTY SMALLCAP 250,05-Sep-24,23346.43
NIFTY SMALLCAP 250,06-Sep-24,23113.65
NIFTY SMALLCAP 250,09-Sep-24,22922.98
NIFTY SMALLCAP 250,10-Sep-24,23209.78
NIFTY SMALLCAP 250,11-Sep-24,23028.62
NIFTY SMALLCAP 250,12-Sep-24,23209.03
NIFTY SMALLCAP 250,13-Sep-24,23415.65
NIFTY SMALLCAP 250,16-Sep-24,23453.23
NIFTY SMALLCAP 250,17-Sep-24,23411.6
NIFTY SMALLCAP 250,18-Sep-24,23332.66
NIFTY SMALLCAP 250,19-Sep-24,23074.31
NIFTY SMALLCAP 250,20-Sep-24,23323.86
NIFTY SMALLCAP 250,23-Sep-24,23524.82
NIFTY SMALLCAP 250,24-Sep-24,23474.51
NIFTY SMALLCAP 250,25-Sep-24,23392.12
NIFTY SMALLCAP 250,26-Sep-24,23287.12
NIFTY SMALLCAP 250,27-Sep-24,23242.76
NIFTY SMALLCAP 250,30-Sep-24,23256.45
NIFTY SMALLCAP 250,01-Oct-24,23409.41
NIFTY SMALLCAP 250,03-Oct-24,22964.06
NIFTY SMALLCAP 250,04-Oct-24,22765.03
NIFTY SMALLCAP 250,07-Oct-24,22124.55
NIFTY SMALLCAP 250,08-Oct-24,22589.83
NIFTY SMALLCAP 250,09-Oct-24,22869.11
NIFTY SMALLCAP 250,10-Oct-24,22898.67
NIFTY SMALLCAP 250,11-Oct-24,23006.92
NIFTY SMALLCAP 250,14-Oct-24,23072.73
NIFTY SMALLCAP 250,15-Oct-24,23328.56
NIFTY SMALLCAP 250,16-Oct-24,23376.96
NIFTY SMALLCAP 250,17-Oct-24,23046.43
NIFTY SMALLCAP 250,18-Oct-24,23037.1
NIFTY SMALLCAP 250,21-Oct-24,22657.48
NIFTY SMALLCAP 250,22-Oct-24,21823.05
NIFTY SMALLCAP 250,23-Oct-24,22051.01
NIFTY SMALLCAP 250,24-Oct-24,21919.67
NIFTY SMALLCAP 250,25-Oct-24,21419.26
NIFTY SMALLCAP 250,28-Oct-24,21666.28
NIFTY SMALLCAP 250,29-Oct-24,21826.31
NIFTY SMALLCAP 250,30-Oct-24,22085.49
NIFTY SMALLCAP 250,31-Oct-24,22424.5
NIFTY SMALLCAP 250,01-Nov-24,22661.58
NIFTY SMALLCAP 250,04-Nov-24,22245.98
NIFTY SMALLCAP 250,05-Nov-24,22353.8
NIFTY SMALLCAP 250,06-Nov-24,22775.3
NIFTY SMALLCAP 250,07-Nov-24,22634.01
NIFTY SMALLCAP 250,08-Nov-24,22282.26
NIFTY SMALLCAP 250,11-Nov-24,22016.49
NIFTY SMALLCAP 250,12-Nov-24,21729.02
NIFTY SMALLCAP 250,13-Nov-24,21064.28
NIFTY SMALLCAP 250,14-Nov-24,21231.61
NIFTY SMALLCAP 250,18-Nov-24,21095.49
NIFTY SMALLCAP 250,19-Nov-24,21289.19
NIFTY SMALLCAP 250,21-Nov-24,21166.06
NIFTY SMALLCAP 250,22-Nov-24,21373.93
NIFTY SMALLCAP 250,25-Nov-24,21825.83
NIFTY SMALLCAP 250,26-Nov-24,21960.17
NIFTY SMALLCAP 250,27-Nov-24,22184.43
NIFTY SMALLCAP 250,28-Nov-24,22216.29
NIFTY SMALLCAP 250,29-Nov-24,22396.2
NIFTY SMALLCAP 250,02-Dec-24,22552.51
NIFTY SMALLCAP 250,03-Dec-24,22764.13
NIFTY SMALLCAP 250,04-Dec-24,22936.66
NIFTY SMALLCAP 250,05-Dec-24,23046.47
NIFTY SMALLCAP 250,06-Dec-24,23171.08
NIFTY SMALLCAP 250,09-Dec-24,23256.39
