"Date","Price","Open","High","Low","Vol.","Change %"
"10-01-2025","34,447.06","34,447.06","34,447.06","34,447.06","","-1.12%"
"09-01-2025","34,838.29","34,838.29","34,838.29","34,838.29","","-0.83%"
"08-01-2025","35,131.01","35,131.01","35,131.01","35,131.01","","-0.49%"
"07-01-2025","35,304.55","35,304.55","35,304.55","35,304.55","","0.52%"
"06-01-2025","35,120.87","35,120.87","35,120.87","35,120.87","","-2.13%"
"03-01-2025","35,883.72","35,883.72","35,883.72","35,883.72","","-0.49%"
"02-01-2025","36,060.05","36,060.05","36,060.05","36,060.05","","1.50%"
"01-01-2025","35,526.08","35,526.08","35,526.08","35,526.08","","0.48%"
"31-12-2024","35,357.90","35,357.90","35,357.90","35,357.90","","0.08%"
"30-12-2024","35,329.04","35,329.04","35,329.04","35,329.04","","-0.39%"
"27-12-2024","35,468.25","35,468.25","35,468.25","35,468.25","","0.07%"
"26-12-2024","35,444.76","35,444.76","35,444.76","35,444.76","","0.12%"
"24-12-2024","35,401.02","35,401.02","35,401.02","35,401.02","","-0.03%"
"23-12-2024","35,413.41","35,413.41","35,413.41","35,413.41","","0.42%"
"20-12-2024","35,266.62","35,266.62","35,266.62","35,266.62","","-1.90%"
"19-12-2024","35,950.45","35,950.45","35,950.45","35,950.45","","-0.79%"
"18-12-2024","36,238.39","36,238.39","36,238.39","36,238.39","","-0.70%"
"17-12-2024","36,493.34","36,493.34","36,493.34","36,493.34","","-1.10%"
"16-12-2024","36,898.98","36,898.98","36,898.98","36,898.98","","-0.03%"
"13-12-2024","36,909.23","36,909.23","36,909.23","36,909.23","","0.44%"
"12-12-2024","36,747.20","36,747.20","36,747.20","36,747.20","","-0.44%"
"11-12-2024","36,907.95","36,907.95","36,907.95","36,907.95","","0.19%"
"10-12-2024","36,839.60","36,839.60","36,839.60","36,839.60","","0.10%"
"09-12-2024","36,803.45","36,803.45","36,803.45","36,803.45","","-0.09%"
"06-12-2024","36,835.17","36,835.17","36,835.17","36,835.17","","0.15%"
"05-12-2024","36,781.26","36,781.26","36,781.26","36,781.26","","0.77%"
"04-12-2024","36,499.26","36,499.26","36,499.26","36,499.26","","0.34%"
"03-12-2024","36,374.88","36,374.88","36,374.88","36,374.88","","0.81%"
"02-12-2024","36,082.61","36,082.61","36,082.61","36,082.61","","0.66%"
"29-11-2024","35,847.40","35,847.40","35,847.40","35,847.40","","0.77%"
"28-11-2024","35,573.80","35,573.80","35,573.80","35,573.80","","-0.78%"
"27-11-2024","35,853.83","35,853.83","35,853.83","35,853.83","","0.57%"
"26-11-2024","35,649.51","35,649.51","35,649.51","35,649.51","","0.04%"
"25-11-2024","35,635.18","35,635.18","35,635.18","35,635.18","","1.48%"
"22-11-2024","35,116.00","35,116.00","35,116.00","35,116.00","","1.85%"
"21-11-2024","34,476.59","34,476.59","34,476.59","34,476.59","","-0.35%"
"18-11-2024","34,599.09","34,599.09","34,599.09","34,599.09","","-0.29%"
"14-11-2024","34,699.38","34,699.38","34,699.38","34,699.38","","0.23%"
"13-11-2024","34,618.08","34,618.08","34,618.08","34,618.08","","-1.86%"
"12-11-2024","35,275.39","35,275.39","35,275.39","35,275.39","","-1.15%"
"11-11-2024","35,685.95","35,685.95","35,685.95","35,685.95","","-0.24%"
"08-11-2024","35,771.65","35,771.65","35,771.65","35,771.65","","-0.70%"
"07-11-2024","36,023.67","36,023.67","36,023.67","36,023.67","","-0.97%"
"06-11-2024","36,377.55","36,377.55","36,377.55","36,377.55","","1.57%"
"05-11-2024","35,816.90","35,816.90","35,816.90","35,816.90","","0.72%"
"04-11-2024","35,561.76","35,561.76","35,561.76","35,561.76","","-1.33%"
"01-11-2024","36,042.89","36,042.89","36,042.89","36,042.89","","0.59%"
"31-10-2024","35,830.98","35,830.98","35,830.98","35,830.98","","-0.25%"
"30-10-2024","35,921.77","35,921.77","35,921.77","35,921.77","","-0.20%"
"29-10-2024","35,992.90","35,992.90","35,992.90","35,992.90","","0.68%"
"28-10-2024","35,749.31","35,749.31","35,749.31","35,749.31","","0.67%"
"25-10-2024","35,510.88","35,510.88","35,510.88","35,510.88","","-1.27%"
"24-10-2024","35,966.15","35,966.15","35,966.15","35,966.15","","-0.23%"
"23-10-2024","36,050.23","36,050.23","36,050.23","36,050.23","","0.12%"
"22-10-2024","36,008.15","36,008.15","36,008.15","36,008.15","","-1.92%"
"21-10-2024","36,713.97","36,713.97","36,713.97","36,713.97","","-0.76%"
"18-10-2024","36,994.04","36,994.04","36,994.04","36,994.04","","0.28%"
"17-10-2024","36,891.50","36,891.50","36,891.50","36,891.50","","-1.25%"
"16-10-2024","37,358.90","37,358.90","37,358.90","37,358.90","","-0.26%"
"15-10-2024","37,457.60","37,457.60","37,457.60","37,457.60","","0.04%"
"14-10-2024","37,443.97","37,443.97","37,443.97","37,443.97","","0.49%"
"11-10-2024","37,261.17","37,261.17","37,261.17","37,261.17","","0.06%"
"10-10-2024","37,240.29","37,240.29","37,240.29","37,240.29","","-0.01%"
"09-10-2024","37,242.54","37,242.54","37,242.54","37,242.54","","0.37%"
"08-10-2024","37,105.17","37,105.17","37,105.17","37,105.17","","1.43%"
"07-10-2024","36,583.47","36,583.47","36,583.47","36,583.47","","-1.50%"
"04-10-2024","37,140.49","37,140.49","37,140.49","37,140.49","","-0.93%"
"03-10-2024","37,488.51","37,488.51","37,488.51","37,488.51","","-2.02%"
"30-09-2024","38,261.39","38,261.39","38,261.39","38,261.39","","-1.00%"
"27-09-2024","38,646.95","38,646.95","38,646.95","38,646.95","","-0.03%"
"26-09-2024","38,658.58","38,658.58","38,658.58","38,658.58","","0.52%"
"25-09-2024","38,460.31","38,460.31","38,460.31","38,460.31","","-0.07%"
"24-09-2024","38,488.87","38,488.87","38,488.87","38,488.87","","0.04%"
"23-09-2024","38,472.29","38,472.29","38,472.29","38,472.29","","0.77%"
"20-09-2024","38,179.29","38,179.29","38,179.29","38,179.29","","1.43%"
"19-09-2024","37,642.28","37,642.28","37,642.28","37,642.28","","-0.19%"
"18-09-2024","37,712.14","37,712.14","37,712.14","37,712.14","","-0.30%"
"17-09-2024","37,824.52","37,824.52","37,824.52","37,824.52","","0.01%"
"16-09-2024","37,821.03","37,821.03","37,821.03","37,821.03","","0.17%"
"13-09-2024","37,757.92","37,757.92","37,757.92","37,757.92","","0.09%"
"12-09-2024","37,724.21","37,724.21","37,724.21","37,724.21","","1.60%"
"11-09-2024","37,130.71","37,130.71","37,130.71","37,130.71","","-0.47%"
"10-09-2024","37,307.88","37,307.88","37,307.88","37,307.88","","0.60%"
"09-09-2024","37,084.59","37,084.59","37,084.59","37,084.59","","0.11%"
"06-09-2024","37,045.67","37,045.67","37,045.67","37,045.67","","-1.20%"
"05-09-2024","37,494.75","37,494.75","37,494.75","37,494.75","","0.06%"
"04-09-2024","37,472.70","37,472.70","37,472.70","37,472.70","","-0.17%"
"03-09-2024","37,535.12","37,535.12","37,535.12","37,535.12","","0.12%"
"02-09-2024","37,491.24","37,491.24","37,491.24","37,491.24","","0.11%"
"30-08-2024","37,449.92","37,449.92","37,449.92","37,449.92","","0.44%"
"29-08-2024","37,285.57","37,285.57","37,285.57","37,285.57","","0.07%"
"28-08-2024","37,261.15","37,261.15","37,261.15","37,261.15","","0.05%"
"27-08-2024","37,243.60","37,243.60","37,243.60","37,243.60","","0.18%"
"26-08-2024","37,175.56","37,175.56","37,175.56","37,175.56","","0.61%"
"23-08-2024","36,949.74","36,949.74","36,949.74","36,949.74","","-0.08%"
"22-08-2024","36,980.53","36,980.53","36,980.53","36,980.53","","0.31%"
"21-08-2024","36,866.43","36,866.43","36,866.43","36,866.43","","0.38%"
"20-08-2024","36,726.55","36,726.55","36,726.55","36,726.55","","0.61%"
"19-08-2024","36,503.86","36,503.86","36,503.86","36,503.86","","0.38%"
"16-08-2024","36,365.97","36,365.97","36,365.97","36,365.97","","1.71%"
"14-08-2024","35,754.30","35,754.30","35,754.30","35,754.30","","-0.14%"
"13-08-2024","35,804.66","35,804.66","35,804.66","35,804.66","","-0.92%"
"12-08-2024","36,135.49","36,135.49","36,135.49","36,135.49","","0.01%"
"09-08-2024","36,133.36","36,133.36","36,133.36","36,133.36","","0.97%"
"08-08-2024","35,786.64","35,786.64","35,786.64","35,786.64","","-0.63%"
"07-08-2024","36,012.32","36,012.32","36,012.32","36,012.32","","1.83%"
"06-08-2024","35,364.14","35,364.14","35,364.14","35,364.14","","-0.44%"
"05-08-2024","35,519.50","35,519.50","35,519.50","35,519.50","","-3.08%"
"02-08-2024","36,647.21","36,647.21","36,647.21","36,647.21","","-1.03%"
"01-08-2024","37,029.53","37,029.53","37,029.53","37,029.53","","-0.10%"
"31-07-2024","37,066.08","37,066.08","37,066.08","37,066.08","","0.39%"
"30-07-2024","36,923.23","36,923.23","36,923.23","36,923.23","","0.20%"
"29-07-2024","36,848.02","36,848.02","36,848.02","36,848.02","","0.44%"
"26-07-2024","36,686.77","36,686.77","36,686.77","36,686.77","","1.64%"
"25-07-2024","36,094.83","36,094.83","36,094.83","36,094.83","","-0.02%"
"24-07-2024","36,101.16","36,101.16","36,101.16","36,101.16","","0.25%"
"23-07-2024","36,011.83","36,011.83","36,011.83","36,011.83","","-0.33%"
"22-07-2024","36,130.29","36,130.29","36,130.29","36,130.29","","0.39%"
"19-07-2024","35,989.82","35,989.82","35,989.82","35,989.82","","-1.52%"
"18-07-2024","36,546.20","36,546.20","36,546.20","36,546.20","","0.03%"
"16-07-2024","36,536.66","36,536.66","36,536.66","36,536.66","","-0.02%"
"15-07-2024","36,542.56","36,542.56","36,542.56","36,542.56","","0.50%"
"12-07-2024","36,362.30","36,362.30","36,362.30","36,362.30","","0.40%"
"11-07-2024","36,217.50","36,217.50","36,217.50","36,217.50","","0.12%"
"10-07-2024","36,173.97","36,173.97","36,173.97","36,173.97","","-0.39%"
"09-07-2024","36,314.78","36,314.78","36,314.78","36,314.78","","0.42%"
"08-07-2024","36,161.20","36,161.20","36,161.20","36,161.20","","-0.07%"
"05-07-2024","36,187.04","36,187.04","36,187.04","36,187.04","","1.38%"
"02-07-2024","35,693.16","35,693.16","35,693.16","35,693.16","","-0.22%"
